timestamp,room,temperature,motion,sound_level,temperature_dp,sound_level_dp,room_anon
2025-04-11 23:11:48.447819,bathroom,23.22,1,67.77,23.889770100285684,54.46043465400449,3486577c
2025-04-11 23:12:18.447819,living_room,22.61,0,47.99,21.99117289715249,41.02959409990863,8aec6083
2025-04-11 23:12:48.447819,bedroom,27.15,0,37.35,28.55226761462419,27.40228516763618,a05e6feb
2025-04-11 23:13:18.447819,bedroom,19.52,0,63.21,17.844617819869292,68.5355714293702,a05e6feb
2025-04-11 23:13:48.447819,bedroom,22.71,1,37.98,24.90526568084005,38.52494788100671,a05e6feb
2025-04-11 23:14:18.447819,bathroom,24.46,1,41.41,25.22413546526074,40.90232920007043,3486577c
2025-04-11 23:14:48.447819,living_room,24.7,0,55.36,25.26752896651186,57.06652154045399,8aec6083
2025-04-11 23:15:18.447819,living_room,20.5,1,33.23,21.011902152141648,34.797561774060185,8aec6083
2025-04-11 23:15:48.447819,bathroom,24.07,1,53.3,24.799458611260484,37.541301707508914,3486577c
2025-04-11 23:16:18.447819,living_room,23.43,0,56.6,22.84170879900049,55.87515395150296,8aec6083
2025-04-11 23:16:48.447819,bedroom,23.52,0,63.1,23.118892456913883,68.5122608539163,a05e6feb
2025-04-11 23:17:18.447819,bedroom,24.03,0,65.43,23.435427452572604,64.46728535366593,a05e6feb
2025-04-11 23:17:48.447819,bedroom,19.89,0,36.68,20.360595156928262,41.63779109106751,a05e6feb
2025-04-11 23:18:18.447819,bedroom,23.16,0,46.59,21.63801506317256,47.74486381054631,a05e6feb
2025-04-11 23:18:48.447819,bedroom,18.1,1,31.08,20.83344544294076,35.66825986519471,a05e6feb
2025-04-11 23:19:18.447819,living_room,20.06,0,47.11,18.60775621892861,47.14688852571467,8aec6083
2025-04-11 23:19:48.447819,kitchen,22.52,0,54.37,23.76062449763713,70.0827706300008,3171d89a
2025-04-11 23:20:18.447819,living_room,16.87,1,37.28,16.888111253979247,38.41297088543466,8aec6083
2025-04-11 23:20:48.447819,bedroom,21.82,0,47.81,21.32747578357305,50.67217787845039,a05e6feb
