timestamp,room,temperature,motion,sound_level,temperature_dp,sound_level_dp
2025-04-11 23:11:48.447819,bathroom,23.22,1,67.77,23.889770100285684,54.46043465400449
2025-04-11 23:12:18.447819,living_room,22.61,0,47.99,21.991172897152495,41.02959409990863
2025-04-11 23:12:48.447819,bedroom,27.15,0,37.35,28.55226761462419,27.40228516763618
2025-04-11 23:13:18.447819,bedroom,19.52,0,63.21,17.844617819869292,68.5355714293702
2025-04-11 23:13:48.447819,bedroom,22.71,1,37.98,24.90526568084005,38.52494788100671
2025-04-11 23:14:18.447819,bathroom,24.46,1,41.41,25.22413546526074,40.90232920007043
2025-04-11 23:14:48.447819,living_room,24.7,0,55.36,25.26752896651186,57.06652154045399
2025-04-11 23:15:18.447819,living_room,20.5,1,33.23,21.011902152141648,34.797561774060185
2025-04-11 23:15:48.447819,bathroom,24.07,1,53.3,24.799458611260484,37.541301707508914
2025-04-11 23:16:18.447819,living_room,23.43,0,56.6,22.84170879900049,55.87515395150296
2025-04-11 23:16:48.447819,bedroom,23.52,0,63.1,23.118892456913883,68.5122608539163
2025-04-11 23:17:18.447819,bedroom,24.03,0,65.43,23.435427452572604,64.46728535366593
2025-04-11 23:17:48.447819,bedroom,19.89,0,36.68,20.360595156928266,41.63779109106751
2025-04-11 23:18:18.447819,bedroom,23.16,0,46.59,21.638015063172556,47.74486381054631
2025-04-11 23:18:48.447819,bedroom,18.1,1,31.08,20.83344544294076,35.66825986519471
2025-04-11 23:19:18.447819,living_room,20.06,0,47.11,18.607756218928614,47.14688852571467
2025-04-11 23:19:48.447819,kitchen,22.52,0,54.37,23.76062449763713,70.0827706300008
2025-04-11 23:20:18.447819,living_room,16.87,1,37.28,16.888111253979247,38.41297088543466
2025-04-11 23:20:48.447819,bedroom,21.82,0,47.81,21.327475783573046,50.67217787845039
2025-04-11 23:21:18.447819,bathroom,22.82,0,59.25,23.129307920899596,61.85835008033785
2025-04-11 23:21:48.447819,bathroom,18.48,1,39.14,17.769641354580717,39.646717129853855
2025-04-11 23:22:18.447819,bathroom,21.46,0,32.33,18.351526413267706,38.74276346210213
2025-04-11 23:22:48.447819,kitchen,18.03,0,64.6,19.68999285925272,58.830046724602134
2025-04-11 23:23:18.447819,bathroom,16.51,0,65.63,13.898668514166033,68.65456421232027
2025-04-11 23:23:48.447819,kitchen,25.64,1,69.9,27.841768667992095,73.32475141736312
2025-04-11 23:24:18.447819,bedroom,24.05,0,68.64,24.7270084562067,68.3689213681115
2025-04-11 23:24:48.447819,kitchen,22.19,1,54.53,21.743742190601726,52.61287316166119
2025-04-11 23:25:18.447819,bedroom,21.13,0,38.03,21.25580762503317,35.957152623969314
2025-04-11 23:25:48.447819,bedroom,23.26,0,47.06,22.139120441698175,47.845398316664735
2025-04-11 23:26:18.447819,bedroom,18.51,1,37.47,18.335627603570284,26.028142242726584
2025-04-11 23:26:48.447819,living_room,19.25,1,41.88,17.474157006061176,41.61774782535605
2025-04-11 23:27:18.447819,kitchen,21.61,0,50.96,21.144626248384917,48.72803248646519
2025-04-11 23:27:48.447819,bedroom,22.06,0,35.49,21.544040487539924,35.14737634765067
2025-04-11 23:28:18.447819,bathroom,22.74,1,53.38,21.116751887508144,71.06165942639512
2025-04-11 23:28:48.447819,living_room,20.74,0,32.99,16.30900943769238,37.63828581803827
2025-04-11 23:29:18.447819,kitchen,21.39,0,45.39,20.302434155630625,50.393181304634005
2025-04-11 23:29:48.447819,living_room,21.05,1,31.74,19.27436011162801,27.850776873007042
