timestamp,room,temperature,motion,sound_level,temperature_dp,sound_level_dp,room_anon,sound_level_enc,sound_level_dec
2025-04-11 23:11:48.447819,bathroom,23.22,1,67.77,23.889770100285684,54.46043465400449,3486577c,gAAAAABn-UPpdX39P9Bdkt0fO3-61OEyHOcKII-zhV0L15laZdXlracJhH_3N17K9m5wjyK8GwldBcW0950iTlOMjVaz0L1BgWK-JSne5DsLzRCMEQhM0G0=,54.46043465400449
2025-04-11 23:12:18.447819,living_room,22.61,0,47.99,21.99117289715249,41.02959409990863,8aec6083,gAAAAABn-UPpJTkNzkA-ftMj0Bj1yrI0KZ4NHKO0TCgN-RXUX3gjUMaQmnNrTLyfwcG8AlCo-egOjD2YxLlUgxvqlzYMmsEaDeT5C-X5elP4G_1bESThaRE=,41.02959409990863
2025-04-11 23:12:48.447819,bedroom,27.15,0,37.35,28.55226761462419,27.40228516763618,a05e6feb,gAAAAABn-UPpOgv-OH_er6qN2VfdQjROQmwPa6KzN1Lhz25cbHY-x9Thr5RQGsOzPzr3RYirVKx6iDD7beFioUrHslGd_ltc3s558vkZ19baoyM9JGIN5vs=,27.40228516763618
2025-04-11 23:13:18.447819,bedroom,19.52,0,63.21,17.844617819869292,68.5355714293702,a05e6feb,gAAAAABn-UPpRq1CG59PAd3iCZm_JU7vQr1YVXte-uyccXBP6wby9H8UlZWnM88A-8e8-dVu2OHKY2ntVWCh7CYm7ys1EVmrcBh5okSnfDcJ2r8bOVqPReE=,68.5355714293702
2025-04-11 23:13:48.447819,bedroom,22.71,1,37.98,24.90526568084005,38.52494788100671,a05e6feb,gAAAAABn-UPprRmaI2ChlSA0Vx1lpu-BLFveD1tibfE9VLBqnHqG547mVXLcqSyXVX1-6ItapPn6z_tOVYCjiMcJz367C4g7bFqaJUiGUH1vCYGUhArUNos=,38.52494788100671
2025-04-11 23:14:18.447819,bathroom,24.46,1,41.41,25.22413546526074,40.90232920007043,3486577c,gAAAAABn-UPpeaL8iAZra89Wuy-qWuM5LIcH2TndX-NHy8N6JGNHqFz1fZ8U_BLbhClGVWkHQ9PNk3QUGtgSYPYT9ufau2eSwLNRvzs7gm_eibn5yctM9zM=,40.90232920007043
2025-04-11 23:14:48.447819,living_room,24.7,0,55.36,25.26752896651186,57.06652154045399,8aec6083,gAAAAABn-UPp640Bu4tCn33Qp1_ZPjSbfYSwq2UOjJd8rvsieKGsmvxfvnrjQAvOq3U4_LG9uiNNrkBpyb--y1eCJd34-4MkPlAPqP35Zb9FB5w_emCLNxs=,57.06652154045399
2025-04-11 23:15:18.447819,living_room,20.5,1,33.23,21.011902152141648,34.797561774060185,8aec6083,gAAAAABn-UPpbBrjXJUnZ8qspt2UeJ6KKTH9YzJsinRmyugvZei6Dtx_8dU97kkWWUte3pbogkeLXz36PLir6cyyc8sZwVD_Gb4ombm28i9548W9Leb80iI=,34.797561774060185
2025-04-11 23:15:48.447819,bathroom,24.07,1,53.3,24.799458611260484,37.541301707508914,3486577c,gAAAAABn-UPpT_8XPvfs-b0eAchWFPs-PXD9ck6CQ5q8qaGPtrcujfKlDIyMvM14vGWk3NxZRL4HTAxnzcq4sPq1y6zbpr2zAqdoWryqF6XbEgGaMiDWKDc=,37.541301707508914
2025-04-11 23:16:18.447819,living_room,23.43,0,56.6,22.84170879900049,55.87515395150296,8aec6083,gAAAAABn-UPpZs1b21TRXc7dfl39LeCBjmByqROqh0EKHO-8QWyt3beK63t_xAF6zpoS09WrzdFDeBENtEAkxfCSmmRtFuPAqpKGgI4kvLA7--D6oJO3gYk=,55.87515395150296
2025-04-11 23:16:48.447819,bedroom,23.52,0,63.1,23.118892456913883,68.5122608539163,a05e6feb,gAAAAABn-UPpWhSim8UHhEbXwwDLLJOuN6u1z6U81VW4MvJCENWM1zB7sr31QifvAlG6zdfKooJYw1Fh3k3Y2Hk_3xeEmnAek0Vd7Vjv6jLoKO2ixnE8SYc=,68.5122608539163
